author,collection_name,place of birth,coordinates_place_of_birth,lat_place_of_birth,long_place_of_birth,country_of_birth,place of death,coordinate_place_of_death,lat_place_of_death,long_place_of_death,country_of_death,country of citizenship 1,country of citizenship 2,country of citizenship 3,sex or gender,spouse,collection_organizer
Juan Abreu,Juan Abreu Papers,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,,,,,,Cuba,,,male,,
Margarita Aguirre,Margarita Aguirre Correspondence,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Chile; Argentina,Argentina,,female,,
Claribel Alegría Vides,Claribel Alegría Papers,Estelí,"13.093091666666666,-86.35544722222222",13.093091666666666,-86.35544722222222,Nicaragua,Managua,"12.154372222222221,-86.27376666666666",12.154372222222221,-86.27376666666666,Nicaragua,Nicaragua; El Salvador,El Salvador,,female,Darwin J. Flakoll,
Rodolfo Alonso,Rodolfo Alonso Correspondence and Photographs,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,,,,,,Argentina,,,male,,
Jorge Amado,Jorge Amado Letters,Itabuna,"-14.785833333333,-39.28",-14.785833333333,-39.28,Brazil,Salvador,"-12.983055555555556,-38.492777777777775",-12.983055555555556,-38.492777777777775,Brazil,Brazil,,,male,Zélia Gattai,
Reinaldo Arenas Fuentes,Reinaldo Arenas Papers,Aguas Claras,,,,Cuba,New York City,"40.7,-74",40.7,-74,United States of America,Cuba,,,male,,
Antón Arrufat,Antón Arrufat Papers,Santiago de Cuba,"20.02166666666667,-75.82944444444445",20.02166666666667,-75.82944444444445,Cuba,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,Cuba,,,male,,
Miguel Ángel Asturias Rosales,Miguel Angel Asturias Papers,Guatemala City,"14.609861111111,-90.52525",14.609861111111,-90.52525,Guatemala,Madrid,"40.41694444444445,-3.703333333333333",40.41694444444445,-3.703333333333333,Spain,Guatemala,,,male,Clemencia Amado;Blanca Mora y Araujo,
Francisco Ayala,Selected Papers of Francisco Ayala,Granada,"37.178055555556,-3.6008333333333",37.178055555556,-3.6008333333333,Spain,Madrid,"40.41694444444445,-3.703333333333333",40.41694444444445,-3.703333333333333,Spain,Spain,,,male,,
Antonio Benítez-Rojo,Antonio Benítez Rojo Papers,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,Cuba,"22,-79.5",22,-79.5,Cuba,Cuba,,,male,,
José Bianco,José Bianco Papers,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,male,,
Jorge Luis Borges,James East Irby Collection on José Bianco and Jorge Luis Borges,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Geneva,"46.2,6.15",46.2,6.15,Switzerland,Argentina,,,male,Elsa Astete Millán;María Kodama,James East Irby
Guillermo Cabrera Infante,Guillermo Cabrera Infante Papers,Gibara,"21.107222222222,-76.136666666667",21.107222222222,-76.136666666667,Cuba,London,"51.507222222222,-0.1275",51.507222222222,-0.1275,United Kingdom,United Kingdom; Cuba; Spain,Cuba,Spain,male,,
Bernardo Canal Feijóo,Bernardo Canal Feijóo Correspondence,Santiago del Estero,"-27.784444444444,-64.266944444444",-27.784444444444,-64.266944444444,Argentina,,,,,,Argentina,,,male,,
J. G. Cobo Borda,Juan Gustavo Cobo Borda Papers,Bogotá,"4.60971,-74.08175",4.60971,-74.08175,Colombia,Bogotá,"4.60971,-74.08175",4.60971,-74.08175,Colombia,Colombia,,,male,,
Julio Florencio Cortazar,Julio Cortázar Papers,City of Brussels,"50.846666666666664,4.351666666666667",50.846666666666664,4.351666666666667,Belgium,10th arrondissement of Paris,"48.875508333333,2.3578527777778",48.875508333333,2.3578527777778,France,Argentina; France,France,,male,Ugnė Karvelisehebeb;Aurora Bernárdez;Carol Dunlop,
Edgardo Cozarinsky,Edgardo Cozarinsky Papers,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,,,,,,Argentina,,,male,,
Arcadio Díaz Quiñones,Arcadio Díaz Quiñones Papers,Puerto Rico,"18.25,-66.5",18.25,-66.5,United States of America,,,,,,Puerto Rico,,,male,,
Jorge Díaz,Jorge Díaz Papers,Rosario,"-32.9575,-60.639444444444",-32.9575,-60.639444444444,Argentina,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Chile,,,male,,
Eliseo Diego,Eliseo Diego Papers,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Cuba,,,male,,
José Donoso,José Donoso Papers,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Chile,,,male,María del Pilar Serrano,
Jorge Edwards,Jorge Edwards Collection,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Madrid,"40.41694444444445,-3.703333333333333",40.41694444444445,-3.703333333333333,Spain,Chile; Spain,Spain,,male,Pilar de Castro Vergara,
Diamela Eltit,Diamela Eltit Papers,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,,,,,,Chile,,,female,Raúl Zurita;Jorge Arrate,
Claude Esteban,Claude Esteban Letters (mostly from Octavio Paz),Paris,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,France,Paris,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,France,France,,,male,,
Rosario Ferré,Rosario Ferré Papers,Ponce,"18.010833333333334,-66.61361111111111",18.010833333333334,-66.61361111111111,United States of America,San Juan,"18.465555555555557,-66.11805555555556",18.465555555555557,-66.11805555555556,United States of America,United States of America,,,female,,
Enrique Fierro,Enrique Fierro and Ida Vitale Papers,Montevideo,"-34.86666666666667,-56.166666666666664",-34.86666666666667,-56.166666666666664,Uruguay,Austin,"30.3,-97.733333333333",30.3,-97.733333333333,United States of America,Uruguay,,,male,Ida Vitale,
Ida Vitale,Enrique Fierro and Ida Vitale Papers,Montevideo,"-34.86666666666667,-56.166666666666664",-34.86666666666667,-56.166666666666664,Uruguay,,,,,,Uruguay,,,female,Enrique Fierro,
Carlos Franqui,Carlos Franqui Collection,Cifuentes,"22.620833333333,-80.066111111111",22.620833333333,-80.066111111111,Cuba,San Juan,"18.465555555555557,-66.11805555555556",18.465555555555557,-66.11805555555556,United States of America,Cuba,,,male,,
Carlos Fuentes,Carlos Fuentes Papers,Panama City,"9,-79.5",9,-79.5,Panama,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico,,,male,Rita Macedo;Silvia Lemus,
Gabriel García Márquez,Gabriel García Márquez correspondence with Rogelio García Lupo,Aracataca,"10.591111111111,-74.185",10.591111111111,-74.185,Colombia,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Colombia,,,male,Mercedes Barcha,
Rogelio García Lupo,Gabriel García Márquez correspondence with Rogelio García Lupo,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Palermo,"-34.588888888889,-58.430555555556",-34.588888888889,-58.430555555556,Argentina,Argentina,,,male,,
Juan García Ponce,Juan García Ponce Papers,Mérida,"20.97,-89.62",20.97,-89.62,Mexico,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico,,,male,,
Lorenzo García Vega,Lorenzo García Vega Papers,Jagüey Grande,"22.529166666667,-81.1325",22.529166666667,-81.1325,Cuba,Miami,"25.783333333333,-80.216666666667",25.783333333333,-80.216666666667,United States of America,Cuba,,,male,,
Elena Garro,Elena Garro Papers,Puebla City,"19.051388888889,-98.217777777778",19.051388888889,-98.217777777778,Mexico,Cuernavaca,"18.918611111111,-99.234166666667",18.918611111111,-99.234166666667,Mexico,Mexico,,,female,Octavio Paz,
Juan Gelman,Juan Gelman Papers,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Bolivia,,,male,,
Alberto Girri,Selected Papers of Alberto Girri,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,male,,
Margo Glantz,Margo Glantz Papers,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,,,,,,Mexico,,,female,,
Severo Sarduy,Roberto González Echevarría Collection on Severo Sarduy and Other Latin American Writers,Camagüey,"21.378611111111,-77.918611111111",21.378611111111,-77.918611111111,Cuba,Paris,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,France,Cuba; France,France,,male,,Roberto González Echevarría
Roberto Gottardi,Archivo de Roberto Gottardi,Venice,"45.439722222222,12.331944444444",45.439722222222,12.331944444444,Italy,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,Cuba,,,male,,
Pedro Juan Gutiérrez,Archivo de Pedro Juan Gutiérrez,Matanzas,"23.049444,-81.573611",23.049444,-81.573611,Cuba,,,,,,Cuba,,,male,,
Reynaldo Hahn,Reynaldo Hahn Letters and Manuscripts,Caracas,"10.5,-66.933333333333",10.5,-66.933333333333,Venezuela,Paris,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,France,France; Venezuela,Venezuela,,male,,
Lorenzo Homar,Lorenzo Homar Correspondence,San Juan,"18.465555555555557,-66.11805555555556",18.465555555555557,-66.11805555555556,United States of America,Puerta de Tierra,"18.46361111,-66.09666944",18.46361111,-66.09666944,United States of America,United States of America,,,male,,
Jorge Ibargüengoitia,Jorge Ibargüengoitia Papers,Guanajuato City,"21.017777777778,-101.25666666667",21.017777777778,-101.25666666667,Mexico,Madrid,"40.41694444444445,-3.703333333333333",40.41694444444445,-3.703333333333333,Spain,Mexico,,,male,Joy Laville,
Tamara Kamenszain,Tamara Kamenszain Papers - in process,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,female,Héctor Libertella,
Sonja Petra Karsen,Sonja Karsen Papers,Berlin,"52.516666666667,13.383333333333",52.516666666667,13.383333333333,Germany,,,,,,Colombia,,,female,,
Vicente Leñero,Vicente Leñero Papers,Guadalajara,"20.676666666667,-103.3475",20.676666666667,-103.3475,Mexico,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico,,,male,,
Enrique Lihn Carrasco,Enrique Lihn Collection,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Chile,,,male,,
Wolfgang A. Luchting,Wolfgang A. Luchting Correspondence,,,,,,,,,,,,,,male,,
José Martínez Sotomayor,José Martínez Sotomayor Papers,Guadalajara,"20.676666666667,-103.3475",20.676666666667,-103.3475,Mexico,,,,,,Mexico,,,male,,
